Location,Latitude,Longitude,AircraftId,Date,Origin,Destination,DepartureAEST,ArrivalAEST
Brisbane,-27.3739966,153.1226313,FD427,10/7/2022,Brisbane (BNE / YBBN),Kingaroy (KGY / YKRY),20:27:00,20:52:00
Brisbane,-27.3739966,153.1226313,FD478,5/7/2022,Brisbane (BNE / YBBN),Bundaberg (BDB / YBUD),19:32:00,20:00:00
Brisbane,-27.3739966,153.1226313,FD425,8/7/2022,Brisbane (BNE / YBBN),Bundaberg (BDB / YBUD),15:52:00,16:19:00
Brisbane,-27.3739966,153.1226313,FD456,4/7/2022,Brisbane (BNE / YBBN),Chinchilla (CCL / YCCA),13:48:00,14:15:00
Brisbane,-27.3739966,153.1226313,FD467,17/7/2022,Brisbane (BNE / YBBN),Hervey Bay (HVB / YHBA),15:37:00,16:03:00
Brisbane,-27.3739966,153.1226313,FD427,10/7/2022,Brisbane (BNE / YBBN),Rockhampton (ROK / YBRK),13:38:00,14:07:00
Brisbane,-27.3739966,153.1226313,FD456,10/7/2022,Brisbane (BNE / YBBN),Rockhampton (ROK / YBRK),04:42:00,05:10:00
Brisbane,-27.3739966,153.1226313,FD456,12/7/2022,Brisbane (BNE / YBBN),Rockhampton (ROK / YBRK),08:52:00,09:22:00
Brisbane,-27.3739966,153.1226313,FD427,10/7/2022,Brisbane (BNE / YBBN),Gladstone (GLT / YGLA),02:00:00,02:28:00
Brisbane,-27.3739966,153.1226313,FD456,15/7/2022,Brisbane (BNE / YBBN),Brisbane (BNE / YBBN),15:50:00,16:15:00
Brisbane,-27.3739966,153.1226313,FD449,11/7/2022,Brisbane (BNE / YBBN),Rockhampton (ROK / YBRK),19:51:00,20:19:00
Brisbane,-27.3739966,153.1226313,FD456,16/7/2022,Brisbane (BNE / YBBN),Emerald (EMD / YEML),13:35:00,14:05:00
Brisbane,-27.3739966,153.1226313,FD427,8/7/2022,Brisbane (BNE / YBBN),Hervey Bay (HVB / YHBA),15:24:00,15:50:00
Brisbane,-27.3739966,153.1226313,FD427,9/7/2022,Brisbane (BNE / YBBN),Hervey Bay (HVB / YHBA),15:29:00,15:55:00
Brisbane,-27.3739966,153.1226313,FD449,10/7/2022,Brisbane (BNE / YBBN),Emerald (EMD / YEML),17:39:00,18:09:00
Brisbane,-27.3739966,153.1226313,FD425,9/7/2022,Brisbane (BNE / YBBN),Hervey Bay (HVB / YHBA),11:03:00,11:30:00
Brisbane,-27.3739966,153.1226313,FD478,16/7/2022,Brisbane (BNE / YBBN),Rockhampton (ROK / YBRK),16:14:00,16:43:00
Brisbane,-27.3739966,153.1226313,FD456,15/7/2022,Brisbane (BNE / YBBN),Rockhampton (ROK / YBRK),10:13:00,10:41:00
Brisbane,-27.3739966,153.1226313,FD478,6/7/2022,Brisbane (BNE / YBBN),Hervey Bay (HVB / YHBA),01:56:00,02:22:00
