"","Location","Latitude","Longitude","AircraftId","Date","Origin","Destination","DepartureAEST","ArrivalAEST"
"148","Brisbane",-27.3739966,153.1226313,"FD427","16-07-2022","Brisbane (BNE / YBBN)","Kingaroy (KGY / YKRY)",13:30:00,13:56:00
"149","Brisbane",-27.3739966,153.1226313,"FD493","14-07-2022","Brisbane (BNE / YBBN)","Charleville (CTL / YBCV)",02:44:00,03:14:00
"150","Brisbane",-27.3739966,153.1226313,"FD456","08-07-2022","Brisbane (BNE / YBBN)","Longreach (YLRE)",11:52:00,12:23:00
"151","Brisbane",-27.3739966,153.1226313,"FD449","14-07-2022","Brisbane (BNE / YBBN)","Emerald (EMD / YEML)",14:48:00,15:18:00
"152","Brisbane",-27.3739966,153.1226313,"FD489","07-07-2022","Brisbane (BNE / YBBN)","Rockhampton (ROK / YBRK)",21:11:00,21:40:00
"153","Brisbane",-27.3739966,153.1226313,"FD489","08-07-2022","Brisbane (BNE / YBBN)","Roma (RMA / YROM)",17:11:00,17:39:00
"154","Brisbane",-27.3739966,153.1226313,"FD449","08-07-2022","Brisbane (BNE / YBBN)","Rockhampton (ROK / YBRK)",17:25:00,17:54:00
"155","Brisbane",-27.3739966,153.1226313,"FD425","10-07-2022","Brisbane (BNE / YBBN)","Bundaberg (BDB / YBUD)",07:53:00,08:20:00
"156","Brisbane",-27.3739966,153.1226313,"FD425","15-07-2022","Brisbane (BNE / YBBN)","Bundaberg (BDB / YBUD)",14:44:00,15:11:00
"157","Brisbane",-27.3739966,153.1226313,"FD425","08-07-2022","Brisbane (BNE / YBBN)","Bundaberg (BDB / YBUD)",14:46:00,15:13:00
"158","Brisbane",-27.3739966,153.1226313,"FD425","17-07-2022","Brisbane (BNE / YBBN)","Bundaberg (BDB / YBUD)",11:11:00,11:38:00
"159","Brisbane",-27.3739966,153.1226313,"FD427","12-07-2022","Brisbane (BNE / YBBN)","Hervey Bay (HVB / YHBA)",15:07:00,15:34:00
"160","Brisbane",-27.3739966,153.1226313,"FD425","17-07-2022","Brisbane (BNE / YBBN)","Kingaroy (KGY / YKRY)",00:11:00,00:37:00
"161","Brisbane",-27.3739966,153.1226313,"FD425","14-07-2022","Brisbane (BNE / YBBN)","Bundaberg (BDB / YBUD)",20:56:00,21:22:00
"162","Brisbane",-27.3739966,153.1226313,"FD427","15-07-2022","Brisbane (BNE / YBBN)","Hervey Bay (HVB / YHBA)",23:21:00,23:47:00
